Park Name,slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Park Header,Park type,Description,Street Address,latitude,longitude,City,Province,Postal Code,Fenced,Separate Small Dog Area,Surface type,Size,Water source available,Benches,Shaded area,Waste bins,Bag Dispensers,Parking Available,Washrooms nearby,Operating hours,Seasonal Restrictions,Park Website or Source,Google Maps Link,Tags,Notes / Comments,Intro Paragraph,Media,Reviewed On,Meta Title,Meta Description
Edgemont Area 1 Off-Leash Dog Park,edgemont-area-1-off-leash-dog-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,683b175cf5908465c85c20c6,false,false,Sat May 31 2025 14:51:08 GMT+0000 (Coordinated Universal Time),Sat May 31 2025 14:51:08 GMT+0000 (Coordinated Universal Time),Sun Jun 01 2025 00:16:54 GMT+0000 (Coordinated Universal Time),Edgemont Area 1 Off-Leash Dog Park (Dog Park in NW Calgary),Leash Free,"<p>Edgemont Area 1 Off-Leash Dog Park is a large hillside green space connecting through ravines and natural paths. This area features wide open views of the city, gentle slopes, and plenty of room for dogs to burn energy.</p>",91 Edgeview Rd NW,,,Calgary,Alberta,T3A 4T7,No,No,"Grass, Dirt Trails",3.5 hectares,No,Yes,,Yes,,Street Parking,No,5:00 AM to 11:00 PM,,https://calgarydogparks.com/parks/edgemont-area-1-off-leash-dog-park,"https://www.google.com/maps/place/91+Edgeview+Rd+NW,+Calgary,+AB+T3A+4T7","hillside, ravine trails, northwest Calgary, open view, natural area",<p>Offers stunning views and quiet trails that connect to nearby neighborhoods.</p>,<p>Edgemont Area 1 Off-Leash Dog Park provides northwest Calgary dog owners with a serene trail network and sloped green spaces perfect for off-leash adventures.</p>,,,,
Edworthy Park,edworthy-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,683a557595d7db301cb0eb93,false,false,Sat May 31 2025 01:03:49 GMT+0000 (Coordinated Universal Time),Sat May 31 2025 01:34:42 GMT+0000 (Coordinated Universal Time),Sat May 31 2025 02:01:43 GMT+0000 (Coordinated Universal Time),Edworthy Park (Leash-Free Dog Area),,"<p>Edworthy Park lies in a scenic river valley and offers both on-leash and designated off-leash areas. The park includes forested paths, picnic spots, and access to the Bow River, making it ideal for dogs and owners alike.</p>",5050 Spruce Dr SW,,,Calgary,Alberta,T3C 3B2,No,,"Grass, Dirt, Riverbank Trails",,Yes,Yes,Yes,Yes,,,Yes,5:00 AM – 11:00 PM,,https://www.calgary.ca/parks/edworthy.html,https://www.google.com/maps/place/Edworthy+Park/,"off-leash, river, picnic, forest trails, family-friendly",<p>The off-leash area is near the Douglas Fir Trail and river access points.</p>,"<p>Edworthy Park is a popular destination for Calgary families and their dogs, offering a blend of river walks, wooded trails, and leash-free adventure.</p>",https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/683a5cabcca84f4da818e8d3_Edworthy%20Park.png,,,
Elbow Park Off-Leash Area,elbow-park-off-leash-area,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,683b175d0ff68ecf10b90630,false,false,Sat May 31 2025 14:51:09 GMT+0000 (Coordinated Universal Time),Sat May 31 2025 14:51:09 GMT+0000 (Coordinated Universal Time),Sun Jun 01 2025 00:16:54 GMT+0000 (Coordinated Universal Time),Elbow Park Off-Leash Area (Inner SW Calgary),Leash Free,"<p>Nestled in one of Calgary's historic neighborhoods, Elbow Park provides a charming off-leash area near the river with grassy fields and walking paths. It's frequented by families and dog owners alike.</p>",800 34 Ave SW,,,Calgary,Alberta,T2T 2A3,No,No,Grass and Pathways,Approx. 2 acres,No,Yes,,Yes,,Street parking available,No,5:00 AM to 11:00 PM,,https://www.calgary.ca/parks/off-leash-locations.html,"https://www.google.com/maps/place/800+34+Ave+SW,+Calgary,+AB+T2T+2A3","off-leash, inner city, river access, family-friendly",<p>Charming neighborhood location with river proximity.</p>,"<p>Elbow Park’s off-leash area blends inner-city charm with accessible green space, making it a convenient and scenic spot for daily dog walks.</p>",,,,
Elboya Off-Leash Area,elboya-off-leash-area,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,683b175da804e6cddf2ae91f,false,false,Sat May 31 2025 14:51:09 GMT+0000 (Coordinated Universal Time),Sat May 31 2025 14:51:09 GMT+0000 (Coordinated Universal Time),Sun Jun 01 2025 00:16:54 GMT+0000 (Coordinated Universal Time),Elboya Off-Leash Area (SW Calgary),Leash Free,<p>Elboya offers an open green space near Stanley Park where dogs can run freely. It's not fenced but has natural boundaries from surrounding residential areas.</p>,4808 Elbow Dr SW,,,Calgary,Alberta,T2S 2J6,No,No,Grass,Approx. 2.5 acres,No,Yes,,Yes,,Yes (lot nearby),Yes,5:00 AM to 11:00 PM,,https://www.calgary.ca/parks/off-leash-locations.html,"https://www.google.com/maps/place/4808+Elbow+Dr+SW,+Calgary,+AB+T2S+2J6","off-leash, open field, residential area","<p>Close to Stanley Park amenities, ideal for locals in the area.</p>","<p>Located near Stanley Park, Elboya Off-Leash Area provides a convenient, open green space for dogs to explore off-leash in Calgary’s southwest.</p>",,,,
Elliots Beach Park,elliots-beach-park-ladysmith,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6871a19465c37327d31f265c,false,false,Fri Jul 11 2025 23:43:16 GMT+0000 (Coordinated Universal Time),Fri Jul 11 2025 23:45:13 GMT+0000 (Coordinated Universal Time),Sat Jul 12 2025 01:27:16 GMT+0000 (Coordinated Universal Time),Elliots Beach Park | North Oyster Beach Guide,Beach park,"<p>Elliots Beach Park is a CVRD beach park at 11846 Elliot Way in North Oyster with picnic space, parking, toilet facilities, and accessible beach access, but it is not an official Ladysmith dog off-leash park.</p>",11846 Elliot Way,48.9887,-123.7622,North Oyster,British Columbia,,No,No,"Beach, sand, gravel, rocky shoreline",Small beach day-use park,Ocean access,Limited picnic seating,Partial,Unknown - verify on arrival,No official dog dispensers confirmed,Yes - small lot for 3 to 7 vehicles,Yes - toilet facilities,Verify posted hours on arrival,Check posted regional park and shoreline notices,https://www.cvrd.bc.ca/parks/elliots-beach-park/,https://www.google.com/maps/search/?api=1&query=11846+Elliot+Way+North+Oyster+BC,"beach-park,waterfront,cvrd,elliots-beach-park","<p>Primary sources: https://www.cvrd.bc.ca/parks/elliots-beach-park/ and https://www.ladysmith.ca/parks-recreation-culture/dog-off-leash-parks-trails. Reviewed on July 30, 2026. This page was corrected because Elliots Beach Park is a CVRD beach park in North Oyster and is not listed by the Town of Ladysmith as an official off-leash dog park.</p>","<p>Elliots Beach Park is a <strong>Cowichan Valley Regional District beach park</strong> in <strong>North Oyster</strong>, with shoreline access, picnic space, and a small waterfront day-use setting at <strong>11846 Elliot Way</strong>.</p>",,2026-07-30,Elliots Beach Park | North Oyster Beach Guide | LeashFree.ca,"Source-backed guide to Elliots Beach Park in North Oyster, including the official CVRD address, beach amenities, and the correction that this is not an official Ladysmith dog off-leash park."
Ellison Dog Park,ellison-dog-park-kelowna,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6871b27f5b7742e5505efe33,false,false,Sat Jul 12 2025 00:55:27 GMT+0000 (Coordinated Universal Time),Sat Jul 12 2025 00:56:39 GMT+0000 (Coordinated Universal Time),Sat Jul 12 2025 01:27:16 GMT+0000 (Coordinated Universal Time),Ellison Dog Park | Kelowna Off-Leash Dog Park,Park,<p>Ellison Dog Park is a large off-leash City of Kelowna park with trail access in the Ellison area near the airport.</p>,4720 Old Vernon Rd,49.94892,-119.37025,Kelowna,British Columbia,V1X 7V6,Yes,Yes,Grass and trail surfaces - verify on arrival,7.02 ha,Unknown - verify on arrival,Unknown - verify on arrival,Some shade may be available - verify on arrival,Expected at city park - verify on arrival,Unknown - verify on arrival,Yes - verify exact access on arrival,Unknown - verify on arrival,Check city signage on arrival,Check posted rules and city updates,https://www.kelowna.ca/parks-recreation/parks-beaches/parks-beaches-listing/ellison-dog-park,https://www.google.com/maps/search/?api=1&query=Ellison+Dog+Park+4720+Old+Vernon+Rd+Kelowna+BC,"off-leash,trails,large-park,kelowna","<p>Primary source: https://www.kelowna.ca/parks-recreation/parks-beaches/parks-beaches-listing/ellison-dog-park. Supporting source: https://www.kelowna.ca/parks-recreation/parks-beaches/dog-parks. The supporting source currently uses the name Ellison Fields Dog Park and lists 4680 Old Vernon Road, while the park-specific listing uses Ellison Dog Park at 4720 Old Vernon Rd. Reviewed on July 30, 2026.</p>","<p>Ellison Dog Park is a City of Kelowna off-leash park at <strong>4720 Old Vernon Rd</strong>, where the current official listing shows <strong>trails</strong>, <strong>off-leash dog status</strong>, and a published area of <strong>7.02 hectares</strong>.</p>",,2026-07-30,Ellison Dog Park | Kelowna Off-Leash Dog Park | LeashFree.ca,"Source-backed guide to Ellison Dog Park in Kelowna, including the City of Kelowna listing at 4720 Old Vernon Rd, off-leash status, 7.02-hectare size, trail access, and current off-leash rules."
Emery Barnes,emery-barnes-dog-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6838bee6661048e5e3ca4386,false,false,Thu May 29 2025 20:09:10 GMT+0000 (Coordinated Universal Time),Thu May 29 2025 23:37:11 GMT+0000 (Coordinated Universal Time),Thu May 29 2025 23:38:18 GMT+0000 (Coordinated Universal Time),Emery Barnes (off-leash dog park),Leash Free,"<p>Pet lovers in Vancouver love spending time at Emery Barnes, an off-leash area perfect for daily visits. This park spans about 856 square meters and features gravel surfaces ideal for running and play. Emery Barnes operates 6 AM to 10 PM, where the environment includes comfortable benches, is primarily sun-exposed, and is close to limited facilities. Don’t forget that it does not include water access, which is ideal for dogs on warmer days.</p>",Davie Street & Richards Street,,,Vancouver,BC,,Yes,,Gravel,,No,Yes,No,Yes,,,No,6 AM to 10 PM,,,,,,"<p>Emery Barnes is a well-loved off-leash dog park in Vancouver. This park features a gravel surface and an open space for dogs to roam freely. It provides no water access, minimal shade, and limited seating, making it a great destination for local dog owners to relax and let their pets socialize.</p>",https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfb0649f9ed0a87de7c1_dog-park-daytime-with-dog-and-grassy-field.png,,,
Etobicoke Valley Dog Park,etobicoke-valley-dog-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,68409f0d2661071b60873901,false,false,Wed Jun 04 2025 19:31:25 GMT+0000 (Coordinated Universal Time),Wed Jun 04 2025 19:36:29 GMT+0000 (Coordinated Universal Time),Wed Jun 04 2025 20:11:05 GMT+0000 (Coordinated Universal Time),Etobicoke Valley Dog Park (Leash-Free Dog Park),Leash Free,"<p>Etobicoke Valley Dog Park is one of the most popular off-leash destinations in Mississauga, located within a natural ravine setting along Etobicoke Creek. Unlike many other urban dog parks, this one offers a more rugged, forest-like experience, complete with walking trails, shaded areas, and even a stream where dogs can cool off. It’s fully unfenced, so strong recall is important. The park offers plenty of space for dogs to roam, sniff, and explore, while their owners enjoy the peaceful natural setting.</p>",1810 Rathburn Rd E,43.62503596697716,-79.56701958394716,Mississauga,Ontario,L4W 2X9,No,No,"Natural terrain, dirt, grass, wooded trail",Approx. 4.5 acres (estimated),No,Yes,Yes,Yes,Yes,Yes (small lot at Garnetwood Park entrance),No,7:00 AM – 9:00 PM,None,https://www.mississauga.ca/city-of-mississauga-news/news/unleash-the-hounds-take-your-pooch-to-a-leash-free-zone/,"https://www.google.com/maps/place/Etobicoke+Creek+Offleash+Dog+Park/@43.6275833,-79.6265861,13z/data=!4m10!1m2!2m1!1sEtobicoke+Valley+Dog+Park!3m6!1s0x882b3806ae39ce89:0x173631bcf0decc05!8m2!3d43.6229849!4d-79.5664381!15sChlFdG9iaWNva2UgVmFsbGV5IERvZyBQYXJrWhsiGWV0b2JpY29rZSB2YWxsZXkgZG9nIHBhcmuSAQhkb2dfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSamJYTjFjM3AzUlJBQqoBYgoJL20vMGJ0OWxyEAEqEyIPdmFsbGV5IGRvZyBwYXJrKAAyHxABIhtpa-e1A__eATD3fztZ5xAWIs4b5X-dMq_ukoIyHRACIhlldG9iaWNva2UgdmFsbGV5IGRvZyBwYXJr4AEA-gEECAAQQQ!16s%2Fg%2F11cjp6_s76?entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D","ravine, natural trail, unfenced, wooded, stream, shaded",<p>This is one of the few leash-free areas with a natural stream. Note that the area is not fenced and dogs may enter the creek or wooded areas—only suitable for dogs with strong recall.</p>,"<p>Nestled in a scenic ravine along Etobicoke Creek, Etobicoke Valley Dog Park offers dogs a unique off-leash adventure through wooded trails and natural terrain. With space to roam and splash, it’s a hidden gem for outdoor-loving pups and their humans.</p>",https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6840a03860a5f67a96d91b4e_Etobicoke%20Valley%20Dog%20Park.jpg,,,
Evanston Dog Park,evanston-dog-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,683b175ca3cb5280b433b3db,false,false,Sat May 31 2025 14:51:08 GMT+0000 (Coordinated Universal Time),Sat May 31 2025 14:51:08 GMT+0000 (Coordinated Universal Time),Sun Jun 01 2025 00:16:54 GMT+0000 (Coordinated Universal Time),Evanston Dog Park (NW Calgary),Leash Free,"<p>Evanston Dog Park features gently rolling prairie landscapes with mixed surfaces, providing a modern design and scenic views for dogs and their owners.</p>","East of Symons Valley Parkway NW, between Evansford Circle NW and Evansford Grove NW",,,Calgary,Alberta,T3P 1G7,No,No,"Grass, Packed Earth, Paved Pathways",1.5 hectares,No,Yes,,Yes,,Street Parking,No,5:00 AM to 11:00 PM,,https://calgarydogparks.com/parks/evanston-dog-park?utm_source=chatgpt.com,"https://www.google.com/maps/place/Evanston+Dog+Park,+Calgary,+AB+T3P+1G7","off-leash, prairie landscape, NW Calgary, community park",<p>The park is a pilot project and may be subject to changes; check for updates.</p>,<p>Evanston Dog Park provides a modern and scenic off-leash area for dogs to enjoy in Calgary's growing northwest community.</p>,,,,
Everett Crowley,everett-crowley-dog-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6838bee648d43e4eb4409547,false,false,Thu May 29 2025 20:09:10 GMT+0000 (Coordinated Universal Time),Thu May 29 2025 23:37:10 GMT+0000 (Coordinated Universal Time),Thu May 29 2025 23:38:18 GMT+0000 (Coordinated Universal Time),Everett Crowley (off-leash dog park),Leash Free,"<p>Pet lovers in Vancouver love spending time at Everett Crowley, an off-leash area perfect for daily visits. Covering 117020 square meters, it has a gravel trails base that supports active dog activities. Visitors can enjoy 6 AM to 10 PM access, and the park offers wide-open green space, is primarily sun-exposed, and has accessible washrooms nearby. Does not include water access, so bring your furry friend for a refreshing outdoor experience.</p>",8200 Kerr Street Vancouver BC,,,Vancouver,BC,,No,,Gravel Trails,,No,No,No,No,,,Yes,6 AM to 10 PM,,,,,,"<p>Everett Crowley is a well-loved off-leash dog park in Vancouver. This park features a gravel trails surface and an open space for dogs to roam freely. It provides no water access, minimal shade, and limited seating, making it a great destination for local dog owners to relax and let their pets socialize.</p>",https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf6da378932f0d55bef8_border-collie-in-open-grassy-dog-park.png,,,
Fairfield Park,fairfield-park-chilliwack,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,687106348688c481f8a40f2d,false,false,Fri Jul 11 2025 12:40:20 GMT+0000 (Coordinated Universal Time),Fri Jul 11 2025 12:40:20 GMT+0000 (Coordinated Universal Time),Fri Jul 11 2025 17:00:43 GMT+0000 (Coordinated Universal Time),Fairfield Park | Chilliwack Dog Off-Leash Area,Park,<p>Fairfield Park is an official Chilliwack dog off-leash site at 46219 Clare Avenue with separate large and small dog areas inside a larger community sports park.</p>,46219 Clare Avenue,49.1245,-121.9927,Chilliwack,British Columbia,V2P 3Y2,Yes,No,Grass within fenced dog areas and surrounding park paths,11.4 hectares,Unknown - verify on arrival,Likely in park areas - verify exact dog-area seating on arrival,Some tree cover around park - verify in dog areas on arrival,Expected at park - verify exact placement on arrival,Unknown - verify on arrival,Yes,Yes,Verify posted hours on arrival,Check posted city rules and field-use activity,https://www.chilliwack.com/main/page.cfm?dowhat=locationView&id=1754&plID=42,https://www.google.com/maps/search/?api=1&query=46219+Clare+Avenue+Chilliwack+BC,"off-leash,small-dog-area,sports-park,chilliwack","<p>Primary sources: https://www.chilliwack.com/main/page.cfm?id=2579 and https://www.chilliwack.com/main/page.cfm?dowhat=locationView&id=1754&plID=42. Supporting sources: https://www.chilliwack.com/main/page.cfm?id=37&prid=573&prshow=details and https://www.chilliwack.com/main/pdfbook/prc/lg/2025FallWinter/HTML/6/. Reviewed on July 30, 2026.</p>","<p>Fairfield Park is one of Chilliwack&apos;s official dog off-leash locations, with <strong>separate large and small dog areas</strong> inside a larger community park at <strong>46219 Clare Avenue</strong> on Fairfield Island.</p>",,2026-07-30,Fairfield Park | Chilliwack Dog Off-Leash Area | LeashFree.ca,"Source-backed guide to Fairfield Park in Chilliwack, including the official Clare Avenue access point, large and small fenced dog areas, walking paths, washrooms, playground, and sports-field amenities."
Falaise Park,falaise-park-dog-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6838bee690c35b5d42e2fc34,false,false,Thu May 29 2025 20:09:10 GMT+0000 (Coordinated Universal Time),Thu May 29 2025 23:37:11 GMT+0000 (Coordinated Universal Time),Thu May 29 2025 23:38:18 GMT+0000 (Coordinated Universal Time),Falaise Park (off-leash dog park),Leash Free,"<p>Falaise Park stands out as one of Vancouver's designated off-leash parks in BC. This park spans about 12889 square meters and features grass surfaces ideal for running and play. Falaise Park operates 5 AM to 8 AM &amp; 5 PM to 10 PM, where the environment offers wide-open green space, is primarily sun-exposed, and is close to limited facilities. Plus, it does not include water access, making it a top destination for canine fun and exercise.</p>",3434 Falaise Avenue Vancouver,,,Vancouver,BC,,No,,Grass,,No,No,No,No,,,No,5 AM to 8 AM & 5 PM to 10 PM,,,,,,"<p>Falaise Park is a well-loved off-leash dog park in Vancouver. This park features a grass surface and an open space for dogs to roam freely. It provides no water access, minimal shade, and limited seating, making it a great destination for local dog owners to relax and let their pets socialize.</p>",https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bfe87efc310352d3b1de_golden-retriever-in-dog-park-open-field.jpg.png,,,
Falaise Park,falaise-dog-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6838bee75e29bb487d5ca9af,false,false,Thu May 29 2025 20:09:11 GMT+0000 (Coordinated Universal Time),Thu May 29 2025 23:37:10 GMT+0000 (Coordinated Universal Time),Thu May 29 2025 23:38:18 GMT+0000 (Coordinated Universal Time),Falaise Park (off-leash dog park),Leash Free,"<p>Falaise Park is a fantastic leash-free zone for dogs located in Vancouver, BC. Covering 11696 square meters, it has a grass base that supports active dog activities. Dog owners will appreciate the park’s 5 AM to 10 AM &amp; 5 PM to 10 PM access and how it offers wide-open green space, is primarily sun-exposed, and is close to limited facilities. Plus, it does not include water access, making it a top destination for canine fun and exercise.</p>",3434 Falaise Avenue Vancouver,,,Vancouver,BC,,,,Grass,,No,No,No,No,,,No,5 AM to 10 AM & 5 PM to 10 PM,,,,,,"<p>Falaise Park is a well-loved off-leash dog park in Vancouver. This park features a grass surface and an open space for dogs to roam freely. It provides no water access, minimal shade, and limited seating, making it a great destination for local dog owners to relax and let their pets socialize.</p>",https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf9fe489f2f6a3b7d375_dog-park-open-space-with-dog-on-grass.png,,,
